"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"hflights","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1",,"R (>= 2.10)",,,,,"CC0",,,,,"no","3.5.2"
"highr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8",,"R (>= 3.2.3)",,,"knitr, testit",,"GPL",,,,,"no","3.5.3"
"Hmisc","C:/Users/jtolbert/Documents/R/win-library/3.5","4.2-0",,"lattice, survival (>= 2.40-1), Formula, ggplot2 (>= 2.2)","methods, latticeExtra, cluster, rpart, nnet, acepack, foreign,
gtable, grid, gridExtra, data.table, htmlTable (>= 1.11.0),
viridis, htmltools, base64enc",,"chron, rms, mice, tables, knitr, ff, ffbase, plotly (>=
4.5.6), rlang",,"GPL (>= 2)",,,,,"yes","3.5.2"
"hms","C:/Users/jtolbert/Documents/R/win-library/3.5","0.5.1",,,"methods, pkgconfig, rlang, vctrs (>= 0.2.0)",,"crayon, lubridate, pillar (>= 1.1.0), testthat",,"GPL-3",,,,,"no","3.5.3"
"hrbrthemes","C:/Users/jtolbert/Documents/R/win-library/3.5","0.6.0",,"R (>= 3.2.0)","ggplot2 (>= 2.2.1), grDevices, grid, scales, extrafont, knitr,
rmarkdown, htmltools, tools, magrittr, gdtools",,"testthat, dplyr, gridExtra, hunspell, stringi, gcookbook,
clipr, vdiffr, svglite",,"MIT + file LICENSE",,,,,"no","3.5.2"
"htmlTable","C:/Users/jtolbert/Documents/R/win-library/3.5","1.13.1",,,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",,"testthat, XML, xtable, ztable, Hmisc, reshape, rmarkdown,
pander, chron, lubridate, tibble, tidyr (>= 0.7.2), dplyr (>=
0.7.4)",,"GPL (>= 3)",,,,,"no","3.5.2"
"htmltools","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.6",,"R (>= 2.14.1)","utils, digest, Rcpp","Rcpp","markdown, testthat","knitr","GPL (>= 2)",,,,,"yes","3.5.2"
"htmlwidgets","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3",,,"grDevices, htmltools (>= 0.3), jsonlite (>= 0.9.16), yaml",,"knitr (>= 1.8)","shiny (>= 1.1)","MIT + file LICENSE",,,,,"no","3.5.2"
"httpuv","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5.2",,"R (>= 2.15.1)","Rcpp (>= 0.11.0), utils, R6, promises, later (>= 0.8.0)","Rcpp, BH, later","testthat, callr, curl, websocket",,"GPL (>= 2) | file LICENSE",,,,,"yes","3.5.3"
"httr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4.1",,"R (>= 3.2)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",,"MIT + file LICENSE",,,,,"no","3.5.3"
"hunspell","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0",,"R (>= 3.0.2)","Rcpp, digest","Rcpp (>= 0.12.12)","spelling, testthat, pdftools, janeaustenr, wordcloud2, knitr,
stopwords, rmarkdown",,"GPL-2 | LGPL-2.1 | MPL-1.1",,,,,"yes","3.5.3"
"igraph","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.4.1",,"methods","graphics, grDevices, magrittr, Matrix, pkgconfig (>= 2.0.0),
stats, utils",,"ape, digest, graph, igraphdata, rgl, scales, stats4, tcltk,
testthat",,"GPL (>= 2)",,,,,"yes","3.5.3"
"imager","C:/Users/jtolbert/Documents/R/win-library/3.5","0.41.2",,"R (>= 2.10.0),magrittr","Rcpp (>=
0.11.5),methods,stringr,png,jpeg,readbitmap,grDevices,purrr,Cairo,downloader,igraph,plyr","Rcpp","knitr, rmarkdown,ggplot2,dplyr,scales,
testthat,OpenMPController,raster,spatstat",,"LGPL",,,,,"yes","3.5.2"
"import","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,,,,"knitr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"infer","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.0.1",,"R (>= 3.1.2)","dplyr (>= 0.7.0), methods, tibble, rlang (>= 0.2.0), ggplot2,
magrittr, glue (>= 1.3.0), grDevices",,"broom, devtools (>= 1.12.0), knitr, rmarkdown, nycflights13,
stringr, testthat, covr",,"CC0",,,,,"no","3.5.3"
"influenceR","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,"R (>= 3.2.0)","igraph (>= 1.0.1), Matrix (>= 1.1-4), methods, utils",,"testthat",,"GPL-2",,,,,"yes","3.5.2"
"ini","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.1",,,,,"testthat",,"GPL-3",,,,,"no","3.5.2"
"inline","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3.15",,"R (>= 2.4.0)","methods",,"Rcpp (>= 0.11.0)",,"LGPL",,,,,"no","3.5.2"
"installr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.22.0",,"R (>= 2.14.0), stringr, utils",,,"curl, XML, htmltab, devtools, rjson, data.table, plyr,
ggplot2, sp, tools, pkgbuild",,"GPL-2",,,"windows",,"no","3.5.3"
"inum","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0-1",,"R (>= 3.3.0)","stats, libcoin (>= 1.0-0)",,,,"GPL-2",,,,,"no","3.5.3"
"ipred","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9-9",,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",,"mvtnorm, mlbench, TH.data",,"GPL (>= 2)",,,,,"yes","3.5.3"
"irlba","C:/Users/jtolbert/Documents/R/win-library/3.5","2.3.3",,"Matrix","stats, methods","Matrix",,,"GPL-3",,,,,"yes","3.5.2"
"ISOcodes","C:/Users/jtolbert/Documents/R/win-library/3.5","2019.04.22",,"R (>= 2.10.0)",,,,,"GPL-2",,,,,"no","3.5.3"
"iterators","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.12",,"R (>= 2.5.0), utils",,,"RUnit, foreach",,"Apache License (== 2.0)",,,,,"no","3.5.3"
"janeaustenr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.5",,"R (>= 3.1.2)",,,"dplyr, testthat",,"MIT + file LICENSE",,,,,"no","3.5.3"
"janitor","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.0",,"R (>= 3.1.2)","dplyr (>= 0.7.0), tidyr (>= 0.7.0), snakecase (>= 0.9.2),
magrittr, purrr, rlang",,"testthat, knitr, rmarkdown, sf, tibble",,"MIT + file LICENSE",,,,,"no","3.5.3"
"jomo","C:/Users/jtolbert/Documents/R/win-library/3.5","2.6-9",,,"stats, lme4, survival, MASS, ordinal",,"mitml",,"GPL-2",,,,,"yes","3.5.3"
"jpeg","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1-8",,"R (>= 2.9.0)",,,,,"GPL-2 | GPL-3",,,,,"yes","3.5.2"
"jqr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,"R (>= 3.1.2)","magrittr, lazyeval",,"roxygen2 (>= 6.1.0), jsonlite, testthat, knitr, rmarkdown",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"jsonlite","C:/Users/jtolbert/Documents/R/win-library/3.5","1.6",,"methods",,,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"kableExtra","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), readr, scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest",,"testthat, magick, formattable, dplyr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"kernlab","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9-27",,"R (>= 2.10)","methods, stats, grDevices, graphics",,,,"GPL-2",,,,,"yes","3.5.2"
"KernSmooth","C:/Users/jtolbert/Documents/R/win-library/3.5","2.23-15","recommended","R (>= 2.5.0), stats",,,"MASS",,"Unlimited",,,,,"yes","3.5.2"
"keyring","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,,"assertthat, getPass, openssl, R6, utils, sodium, yaml,
filelock, rappdirs, tools",,"callr, covr, mockery, testthat, withr",,"MIT + file LICENSE",,,,,"yes","3.5.2"
"klippy","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.0.9500",,"R (>= 2.14.1)","assertthat (>= 0.2.0), htmltools (>= 0.3.5), stringi(>=
0.5-2), grDevices",,"knitr (>= 1.16), prettydoc (>= 0.2.0), rmarkdown (>= 0.9.6)",,"MIT + file LICENSE",,,,,"no","3.5.1"
"knitr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.24",,"R (>= 3.2.3)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, styler",,"GPL",,,,,"no","3.5.3"
"labeling","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3",,,,,,,"MIT + file LICENSE | Unlimited",,,,,"no","3.5.2"
"lambda.r","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.3",,"R (>= 3.0.0)","formatR",,"testit",,"LGPL-3",,,,,"no","3.5.3"
"LambertW","C:/Users/jtolbert/Documents/R/win-library/3.5","0.6.4",,"MASS, ggplot2,","lamW (>= 1.0.0), stats, graphics, grDevices, RColorBrewer,
reshape2, Rcpp","Rcpp, lamW","boot, Rsolnp, nortest, numDeriv, testthat, moments,",,"GPL (>= 2)",,,,,"yes","3.5.2"
"lamW","C:/Users/jtolbert/Documents/R/win-library/3.5","1.3.0",,"R (>= 3.0.2)","Rcpp, RcppParallel (>= 4.3.20)","Rcpp, RcppParallel (>= 4.3.20)","testthat",,"BSD_2_clause + file LICENSE",,,,,"yes","3.5.2"
"lars","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2",,"R (>= 2.10)",,,,,"GPL-2",,,,,"yes","3.5.2"
"later","C:/Users/jtolbert/Documents/R/win-library/3.5","0.8.0",,,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",,"GPL (>= 2)",,,,,"yes","3.5.2"
"lattice","C:/Users/jtolbert/Documents/R/win-library/3.5","0.20-38","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",,,,,"yes","3.5.2"
"latticeExtra","C:/Users/jtolbert/Documents/R/win-library/3.5","0.6-28",,"R (>= 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices",,"maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv",,"GPL (>= 2)",,,,,"no","3.5.2"
"lava","C:/Users/jtolbert/Documents/R/win-library/3.5","1.6.6",,"R (>= 3.0)","grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, igraph (>= 0.6),
lava.tobit (>= 0.4.7), lme4, mets (>= 1.1), nlme, optimx,
polycor, quantreg, rgl, testthat (>= 0.11), visNetwork, zoo",,"GPL-3",,,,,"no","3.5.3"
"lazyeval","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.2",,"R (>= 3.1.0)",,,"knitr, rmarkdown (>= 0.2.65), testthat, covr",,"GPL-3",,,,,"yes","3.5.3"
"leafem","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.1",,"R (>= 3.1.0)","htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1), raster,
sf, sp",,"gdalUtils, plainview, png",,"MIT + file LICENSE",,,,,"no","3.5.3"
"leaflet","C:/Users/jtolbert/Documents/R/win-library/3.5","2.0.2",,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1)",,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",,"GPL-3",,,,,"no","3.5.2"
"leafpop","C:/Users/jtolbert/Documents/R/win-library/3.5","0.0.1",,,"base64enc, brew, gdalUtils, htmlwidgets, Rcpp (>= 1.0.0),
svglite, uuid","Rcpp","lattice, leaflet (>= 2.0.0), sf, sp",,"MIT + file LICENSE",,,,,"yes","3.5.3"
"leaps","C:/Users/jtolbert/Documents/R/win-library/3.5","3.0",,"",,,"biglm",,"GPL (>= 2)",,,,,"yes","3.5.3"
"libcoin","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0-5",,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",,"GPL-2",,,,,"yes","3.5.2"
"lifecycle","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,"R (>= 3.2)","glue, rlang (>= 0.4.0)",,"covr, crayon, knitr, rmarkdown, testthat (>= 2.1.0)",,"GPL-3",,,,,"no","3.5.3"
"limma","C:/Users/jtolbert/Documents/R/win-library/3.5","3.36.5",,"R (>= 2.3.0)","grDevices, graphics, stats, utils, methods",,"affy, AnnotationDbi, BiasedUrn, Biobase, ellipse, GO.db,
gplots, illuminaio, locfit, MASS, org.Hs.eg.db, splines,
statmod (>= 1.2.2), vsn",,"GPL (>=2)",,,,,"yes","3.5.1"
"linprog","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9-2",,"R (>= 2.4.0), lpSolve",,,,,"GPL (>= 2)",,,,,,"3.5.3"
"listenv","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7.0",,"R (>= 3.1.2)",,,"R.utils, R.rsp, markdown",,"LGPL (>= 2.1)",,,,,"no","3.5.3"
"listviewer","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1.0",,,"htmltools, htmlwidgets, shiny",,"jsonlite, miniUI, rstudioapi","reactR","MIT + file LICENSE",,,,,"no","3.5.2"
"lme4","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1-21",,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",,"GPL (>= 2)",,,,,"yes","3.5.3"
"lmom","C:/Users/jtolbert/Documents/R/win-library/3.5","2.8",,"R (>= 3.0.0)","stats, graphics",,,,"Common Public License Version 1.0",,,,,"yes","3.5.3"
"lmtest","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9-37",,"R (>= 3.0.0), stats, zoo","graphics",,"car, strucchange, sandwich, dynlm, stats4, survival, AER",,"GPL-2 | GPL-3",,,,,"yes","3.5.3"
"loo","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1.0",,"R (>= 3.1.2)","graphics, matrixStats (>= 0.52), parallel, stats, checkmate",,"bayesplot (>= 1.5.0), brms (>= 2.2.0), ggplot2, knitr,
rmarkdown, rstan, rstanarm (>= 2.17.4), rstantools, spdep,
testthat",,"GPL (>= 3)",,,,,"no","3.5.3"
"lpSolve","C:/Users/jtolbert/Documents/R/win-library/3.5","5.6.13.3",,,,,,,"LGPL-2",,,,,"yes","3.5.3"
"lsmeans","C:/Users/jtolbert/Documents/R/win-library/3.5","2.30-0",,"emmeans (>= 1.3), methods, R (>= 3.2)",,,"",,"GPL-2 | GPL-3",,,,,"no","3.5.3"
"lubridate","C:/Users/jtolbert/Documents/R/win-library/3.5","1.7.4",,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo","GPL (>= 2)",,,,,"yes","3.5.2"
"magic","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5-9",,"R (>= 2.10), abind",,,,,"GPL-2",,,,,"no","3.5.2"
"magrittr","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5",,,,,"testthat, knitr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"mapproj","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.6",,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",,,,"Lucent Public License",,,,,"yes","3.5.2"
"maps","C:/Users/jtolbert/Documents/R/win-library/3.5","3.3.0",,"R (>= 3.0.0)","graphics, utils",,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",,"GPL-2",,,,,"yes","3.5.2"
"mapsapi","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4.2",,,"magrittr (>= 1.5), xml2 (>= 1.1.1), sf (>= 0.5-3), bitops (>=
1.0-6), plyr (>= 1.8.4)",,"knitr, rmarkdown, leaflet",,"MIT + file LICENSE",,,,,"no","3.5.3"
"maptools","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9-5",,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",,"rgeos (>= 0.1-8), spatstat (>= 1.50), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo","GPL (>= 2)",,,,,"yes","3.5.2"
"mapview","C:/Users/jtolbert/Documents/R/win-library/3.5","2.7.0",,"methods, R (>= 2.10)","base64enc, brew, htmltools, htmlwidgets, lattice, leafem,
leaflet (>= 2.0.0), leafpop, png, raster, Rcpp (>= 0.11.3),
satellite, scales (>= 0.2.5), sf, sp, svglite, uuid,
viridisLite, webshot","Rcpp","covr, dplyr, knitr, lwgeom, plainview, rmarkdown, stars,
testthat",,"GPL (>= 3) | file LICENSE",,,,,"yes","3.5.3"
"markdown","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1",,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",,"knitr, RCurl",,"GPL-2",,,,,"yes","3.5.3"
"MASS","C:/Users/jtolbert/Documents/R/win-library/3.5","7.3-51.4","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",,"lattice, nlme, nnet, survival",,"GPL-2 | GPL-3",,,,,"yes","3.5.3"
"Matrix","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2-17","recommended","R (>= 3.2.0)","methods, graphics, grid, stats, utils, lattice",,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc","GPL (>= 2) | file LICENCE",,,,,"yes","3.5.3"
"MatrixModels","C:/Users/jtolbert/Documents/R/win-library/3.5","0.4-1",,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",,,,"GPL (>= 2)",,,,,"no","3.5.2"
"matrixStats","C:/Users/jtolbert/Documents/R/win-library/3.5","0.55.0",,"R (>= 2.12.0)",,,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",,"Artistic-2.0",,,,,"yes","3.5.3"
"mboost","C:/Users/jtolbert/Documents/R/win-library/3.5","2.9-1",,"R (>= 3.2.0), methods, stats, parallel, stabs (>= 0.5-0)","Matrix, survival, splines, lattice, nnls, quadprog, utils,
graphics, grDevices, partykit (>= 1.2-1)",,"TH.data, MASS, fields, BayesX, gbm, mlbench, RColorBrewer,
rpart (>= 4.0-3), randomForest, nnet, testthat (>= 0.10.0),
kangar00",,"GPL-2",,,,,"yes","3.5.2"
"mclust","C:/Users/jtolbert/Documents/R/win-library/3.5","5.4.5",,"R (>= 3.0)","stats, utils, graphics, grDevices",,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",,"GPL (>= 2)",,,,,"yes","3.5.3"
"memoise","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.0",,,"digest (>= 0.6.3)",,"testthat, aws.s3, httr, covr",,"MIT + file LICENSE",,,,,"no","3.5.2"
"mice","C:/Users/jtolbert/Documents/R/win-library/3.5","3.6.0",,"methods, R (>= 2.10.0), lattice","broom, dplyr, grDevices, graphics, MASS, mitml, nnet,
parallel, Rcpp, rlang, rpart, splines, stats, survival, utils","Rcpp","AGD, CALIBERrfimpute, gamlss, lme4, mitools, nlme, pan,
randomForest, Zelig, BSDA, knitr, rmarkdown, testthat, HSAUR3,
micemd, miceadds, tidyr",,"GPL-2 | GPL-3",,,,,"yes","3.5.3"
"microbenchmark","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4-6",,,"graphics, stats",,"ggplot2, multcomp",,"BSD_2_clause + file LICENSE",,,,,"yes","3.5.2"
"mime","C:/Users/jtolbert/Documents/R/win-library/3.5","0.7",,,"tools",,,,"GPL",,,,,"yes","3.5.3"
"miniUI","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.1.1",,,"shiny (>= 0.13), htmltools (>= 0.3), utils",,,,"GPL-3",,,,,"no","3.5.2"
"minpack.lm","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2-1",,,,,"MASS",,"GPL-3",,,,,"yes","3.5.2"
"minqa","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.4",,,"Rcpp (>= 0.9.10)","Rcpp",,,"GPL-2",,,,,"yes","3.5.2"
"mitml","C:/Users/jtolbert/Documents/R/win-library/3.5","0.3-7",,,"pan, jomo, haven, grDevices, graphics, stats, utils",,"mice, miceadds, Amelia, lme4, nlme, geepack, survival, knitr,
rmarkdown",,"GPL (>= 2)",,,,,"no","3.5.2"
"mlapi","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.0",,"methods","R6 (>= 2.2.1), Matrix (>= 1.1)",,"knitr",,"MIT + file LICENSE",,,,,"no","3.5.3"
"mlbench","C:/Users/jtolbert/Documents/R/win-library/3.5","2.1-1",,"R (>= 2.10)",,,"lattice",,"GPL-2",,,,,,"3.5.2"
"MLmetrics","C:/Users/jtolbert/Documents/R/win-library/3.5","1.1.1",,"R (>= 2.10)","stats, utils, ROCR",,"e1071",,"GPL-2",,,,,"no","3.5.2"
"mlr","C:/Users/jtolbert/Documents/R/win-library/3.5","2.15.0",,"ParamHelpers (>= 1.10), R (>= 3.0.2)","backports (>= 1.1.0), BBmisc (>= 1.11), checkmate (>= 1.8.2),
data.table, ggplot2, methods, parallelMap (>= 1.3), stats,
stringi, survival, utils, XML",,"ada, adabag, bartMachine, batchtools, brnn, bst, C50, care,
caret (>= 6.0-57), class, clue, cluster, ClusterR, clusterSim
(>= 0.44-5), clValid, cmaes, cowplot, CoxBoost, crs, Cubist,
deepnet, DiceKriging, DiscriMiner, e1071, earth, elasticnet,
emoa, evtree, extraTrees, fda.usc, FDboost, flare, FNN, fpc,
frbs, FSelector, FSelectorRcpp (>= 0.2.1), gbm, GenSA, ggpubr,
glmnet, GPfit, h2o (>= 3.6.0.8), Hmisc, hrbrthemes, irace (>=
2.0), kernlab, kknn, klaR, knitr, laGP, LiblineaR, lintr (>=
1.0.0.9001), MASS, mboost, mco, mda, memoise, mlbench, mldr,
mlrMBO, mmpf, modeltools, mRMRe, neuralnet, nnet, nodeHarvest
(>= 0.7-3), numDeriv, pamr, pander, party, penalized (>=
0.9-47), pls, PMCMR (>= 4.1), praznik (>= 5.0.0), randomForest,
randomForestSRC (>= 2.7.0), ranger (>= 0.8.0), rappdirs,
refund, rex, rFerns, rgenoud, rknn, rmarkdown, ROCR,
rotationForest, rpart, RRF, rrlda, rsm, RSNNS, RWeka, sda, sf,
smoof, sparseLDA, stepPlr, survAUC, svglite, SwarmSVM,
testthat, tgp, TH.data, wavelets, xgboost (>= 0.6-2)",,"BSD_2_clause + file LICENSE",,,,,"yes","3.5.3"
"mnormt","C:/Users/jtolbert/Documents/R/win-library/3.5","1.5-5",,"R (>= 2.2.0)",,,,,"GPL-2 | GPL-3",,,,,"yes","3.5.2"
"ModelMetrics","C:/Users/jtolbert/Documents/R/win-library/3.5","1.2.2",,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",,"GPL (>= 2)",,,,,"yes","3.5.2"
"modelr","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.5",,"R (>= 3.2)","broom, dplyr, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0),
tibble, tidyr (>= 0.8.0)",,"compiler, covr, ggplot2, testthat",,"GPL-3",,,,,"no","3.5.3"
"modeltools","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2-22",,"stats, stats4","methods",,,,"GPL-2",,,,,"no","3.5.2"
"moments","C:/Users/jtolbert/Documents/R/win-library/3.5","0.14",,,,,,,"GPL (>= 2)",,,,,"no","3.5.2"
"monomvn","C:/Users/jtolbert/Documents/R/win-library/3.5","1.9-10",,"R (>= 2.14.0), pls, lars, MASS","quadprog, mvtnorm",,,,"LGPL",,,,,"yes","3.5.3"
"MonteCarlo","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0.6",,"snow(>= 0.4-1)","abind(>= 1.4-0), codetools(>= 0.2-8), rlecuyer(>= 0.3-4),
snowfall(>= 1.84-4), stats(>= 3.0.2), utils(>= 3.0.2),
reshape(>= 0.8.6)",,"knitr, rmarkdown, testthat, dplyr, ggplot2",,"GPL-2",,,,,"no","3.5.2"
"muadc","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0",,,"dplyr,
magrittr,
lazyeval,
stringr,
purrr,
stats,
stringr,
readr,
DBI,
RMySQL,
pool",,,,"GPL 2 or higher",,,,,,"3.5.2"
"muaddresses","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.1",,"magrittr","xml2 , XML , dplyr , tidyr , purrr , httr , jsonlite",,,,"GPL-3",,,,,"no","3.5.2"
"multcomp","C:/Users/jtolbert/Documents/R/win-library/3.5","1.4-10",,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",,"GPL-2",,,,,"no","3.5.3"
"multicolor","C:/Users/jtolbert/Documents/R/win-library/3.5","0.1.3",,"R (>= 2.10)","cowsay, crayon, dplyr, glue, magrittr, purrr, stringi,
stringr, tibble (>= 1.2), tidyr",,"covr, fansi, knitr, rmarkdown, testthat, viridisLite,
wesanderson",,"MIT + file LICENSE",,,,,"no","3.5.3"
"mumodels","C:/Users/jtolbert/Documents/R/win-library/3.5","0.2.0",,,"dplyr, lubridate, stringr, randomForest, broom, PRROC, caret",,"knitr, rmarkdown",,"GPL 3 or later",,,,,"no","3.5.2"
"munsell","C:/Users/jtolbert/Documents/R/win-library/3.5","0.5.0",,,"colorspace, methods",,"ggplot2, testthat",,"MIT + file LICENSE",,,,,"no","3.5.2"
"mvtnorm","C:/Users/jtolbert/Documents/R/win-library/3.5","1.0-11",,"R(>= 3.5.0)","stats, methods",,,,"GPL-2",,,,,"yes","3.5.3"
"naivebayes","C:/Users/jtolbert/Documents/R/win-library/3.5","0.9.6",,,,,"knitr",,"GPL-2",,,,,"no","3.5.3"
"ncdf4","C:/Users/jtolbert/Documents/R/win-library/3.5","1.16.1",,,,,,,"GPL (>= 3)",,,,,"yes","3.5.3"
